timestamp,open,high,low,close,volume,open_interest
2025-06-04 09:15:00+05:30,1414.7,1414.8,1410.0,1412.2,287192,0
2025-06-04 09:16:00+05:30,1412.1,1412.3,1410.6,1410.8,60269,0
2025-06-04 09:17:00+05:30,1410.9,1411.0,1408.6,1410.1,42025,0
2025-06-04 09:18:00+05:30,1410.0,1411.8,1409.6,1410.4,31221,0
2025-06-04 09:19:00+05:30,1410.4,1410.4,1407.0,1407.9,59997,0
2025-06-04 09:20:00+05:30,1407.7,1408.9,1407.2,1408.4,14993,0
2025-06-04 09:21:00+05:30,1408.0,1408.6,1406.5,1406.9,45784,0
2025-06-04 09:22:00+05:30,1407.0,1407.5,1406.1,1407.5,13285,0
2025-06-04 09:23:00+05:30,1407.1,1407.5,1406.3,1407.0,20306,0
2025-06-04 09:24:00+05:30,1407.1,1408.0,1407.0,1407.3,22188,0
2025-06-04 09:25:00+05:30,1407.3,1408.4,1407.1,1407.8,12712,0
2025-06-04 09:26:00+05:30,1407.6,1409.8,1407.6,1409.4,18762,0
2025-06-04 09:27:00+05:30,1409.8,1410.0,1409.0,1409.2,13391,0
2025-06-04 09:28:00+05:30,1409.2,1410.0,1408.5,1408.6,26482,0
2025-06-04 09:29:00+05:30,1408.5,1408.6,1407.1,1407.5,14106,0
2025-06-04 09:30:00+05:30,1407.5,1408.4,1406.6,1407.1,20655,0
2025-06-04 09:31:00+05:30,1407.0,1407.3,1406.2,1406.5,33180,0
2025-06-04 09:32:00+05:30,1406.2,1407.9,1406.2,1407.6,9133,0
2025-06-04 09:33:00+05:30,1407.6,1408.3,1407.2,1407.6,20249,0
2025-06-04 09:34:00+05:30,1407.6,1408.4,1407.0,1407.2,20193,0
2025-06-04 09:35:00+05:30,1407.0,1407.6,1406.2,1406.5,18924,0
2025-06-04 09:36:00+05:30,1406.5,1408.5,1406.5,1408.2,15128,0
2025-06-04 09:37:00+05:30,1408.2,1409.5,1408.2,1409.1,12475,0
2025-06-04 09:38:00+05:30,1409.1,1409.2,1408.0,1408.0,10348,0
2025-06-04 09:39:00+05:30,1408.1,1408.6,1407.1,1408.5,17920,0
2025-06-04 09:40:00+05:30,1408.5,1409.5,1408.5,1409.0,7247,0
2025-06-04 09:41:00+05:30,1409.0,1409.5,1408.4,1408.4,23190,0
2025-06-04 09:42:00+05:30,1408.4,1408.5,1408.0,1408.1,7084,0
2025-06-04 09:43:00+05:30,1408.0,1408.1,1407.1,1407.2,13046,0
2025-06-04 09:44:00+05:30,1407.2,1408.0,1407.1,1407.2,5821,0
2025-06-04 09:45:00+05:30,1407.2,1407.4,1407.0,1407.2,7953,0
2025-06-04 09:46:00+05:30,1407.2,1407.7,1407.0,1407.1,6294,0
2025-06-04 09:47:00+05:30,1407.0,1407.7,1406.8,1406.9,12130,0
2025-06-04 09:48:00+05:30,1406.8,1407.4,1406.5,1407.0,8325,0
2025-06-04 09:49:00+05:30,1407.4,1407.6,1406.2,1407.2,6993,0
2025-06-04 09:50:00+05:30,1407.2,1407.6,1407.0,1407.0,7935,0
2025-06-04 09:51:00+05:30,1407.3,1407.3,1406.3,1406.5,20411,0
2025-06-04 09:52:00+05:30,1407.0,1407.7,1406.6,1407.6,3876,0
2025-06-04 09:53:00+05:30,1407.6,1408.4,1407.6,1408.1,6651,0
2025-06-04 09:54:00+05:30,1408.2,1409.0,1408.2,1408.7,3982,0
2025-06-04 09:55:00+05:30,1408.7,1409.5,1408.7,1409.2,14143,0
2025-06-04 09:56:00+05:30,1409.1,1409.7,1409.1,1409.6,9024,0
2025-06-04 09:57:00+05:30,1409.6,1409.8,1408.3,1408.4,14448,0
2025-06-04 09:58:00+05:30,1408.5,1409.0,1408.4,1408.6,3065,0
2025-06-04 09:59:00+05:30,1408.6,1409.3,1408.6,1408.8,4439,0
2025-06-04 10:00:00+05:30,1408.8,1409.3,1408.8,1409.0,3934,0
2025-06-04 10:01:00+05:30,1409.3,1409.4,1408.9,1408.9,4805,0
2025-06-04 10:02:00+05:30,1409.1,1409.1,1408.5,1408.7,4408,0
2025-06-04 10:03:00+05:30,1408.5,1408.8,1408.0,1408.5,5079,0
2025-06-04 10:04:00+05:30,1408.6,1408.8,1407.7,1408.2,7222,0
2025-06-04 10:05:00+05:30,1407.9,1408.9,1407.9,1408.9,3306,0
2025-06-04 10:06:00+05:30,1408.9,1409.7,1408.5,1409.2,4702,0
2025-06-04 10:07:00+05:30,1409.2,1410.8,1409.0,1410.7,1024528,0
2025-06-04 10:08:00+05:30,1410.7,1410.7,1409.4,1409.4,11930,0
2025-06-04 10:09:00+05:30,1409.4,1409.5,1408.0,1408.2,7395,0
2025-06-04 10:10:00+05:30,1408.1,1409.4,1407.9,1408.4,45546,0
2025-06-04 10:11:00+05:30,1408.4,1408.4,1406.9,1407.8,76189,0
2025-06-04 10:12:00+05:30,1407.8,1408.6,1407.7,1408.3,6702,0
2025-06-04 10:13:00+05:30,1408.6,1408.6,1407.0,1407.6,6448,0
2025-06-04 10:14:00+05:30,1407.5,1408.3,1407.2,1408.1,4091,0
2025-06-04 10:15:00+05:30,1408.1,1408.5,1408.0,1408.3,4195,0
2025-06-04 10:16:00+05:30,1408.3,1409.1,1408.2,1408.7,4584,0
2025-06-04 10:17:00+05:30,1408.9,1409.0,1408.7,1409.0,3363,0
2025-06-04 10:18:00+05:30,1409.0,1409.2,1408.9,1409.1,2625,0
2025-06-04 10:19:00+05:30,1409.0,1409.8,1409.0,1409.8,4823,0
2025-06-04 10:20:00+05:30,1409.8,1410.0,1409.2,1410.0,10868,0
2025-06-04 10:21:00+05:30,1410.0,1410.8,1409.8,1410.6,15774,0
2025-06-04 10:22:00+05:30,1410.6,1410.7,1410.3,1410.5,3428,0
